id_ordem,id_invoice,codigo_produto,nome_produto,unidade,quantidade,valor_unitário,valor_imposto,valor_total,valor_desconto
1,19882,76907,Papel Higienico Personal,1x22R30M,1 UND9,"38,37","12,07","38,37",
2,19882,14185,Esc. P/Banho Condor,1x1UND,1 UND9,"18,50","5,82","18,50",
3,19882,23317,Café 3 Corações,10x500G,1 CXA1,"149,80","47,11","149,80",
4,19882,68480,Coco Ralado Mais Coco,1x50G,2 UND9,"2,99","1,88","5,98",
5,19882,43297,,,,,,"13,80",
6,19882,59017,,,,,,"12,90",
7,19882,,,,,,,"4,68",
8,19882,,,,,,,"19,99",
9,19882,,,,,,,"8,99",
10,19882,,,,,,,"35,80",
11,19882,,,,,,,"18,90",
12,19882,,,,,,,"8,49",
13,19882,,,,,,,"8,49",
14,19882,,,,,,,"10,90",
15,19882,,,,,,,"10,50",
16,19882,,,,,,,"4,99",
17,19882,,,,,,,"1,25",
18,19882,,,,,,,"6,15",
19,19882,,,,,,,"28,60",
20,19882,,,,,,,"8,90",
21,19882,,,,,,,"0,99",
22,19882,,,,,,,"0,85",
23,19882,,,,,,,"0,99",
24,19882,,,,,,,"0,99",
25,19882,,,,,,,"0,99",
26,19882,,,,,,,"0,85",
27,19882,,,,,,,"4,25",
28,19882,,,,,,,"1,70",
29,19882,,,,,,,"5,10",
30,19882,,,,,,,,
31,19882,,,,,,,,
32,19882,,,,,,,,
33,19882,,,,,,,,
34,19882,,,,,,,,
35,19882,,,,,,,,
36,19882,,,,,,,,
37,19882,,,,,,,,
38,19882,,,,,,,,
39,19882,,,,,,,,
40,19882,23421,Tempero Sabor AMI,1x300G,2 PTE9 ,"4,99","3,14","4,75",
41,19882,,,,,,,,
42,19882,,,,,,,,
43,19882,,,,,,,,
44,19882,,,,,,,,
45,19882,,,,,,,,
46,19882,,,,,,,,
47,19882,,,,,,,,
48,19882,,,,,,,,
49,19882,,,,,,,,
50,19882,,,,,,,,
51,19882,,,,,,,,
52,19882,,,,,,,,
53,19882,,,,,,,,
54,19882,,,,,,,,
55,19882,,,,,,,,
56,19882,,,,,,,,
57,19882,,,,,,,,
58,19882,,,,,,,,
59,19882,,,,,,,,
60,19882,,,,,,,,
61,19882,,,,,,,,
62,19882,,,,,,,,
63,19882,,,,,,,,
64,19882,,,,,,,,
65,19882,,,,,,,,
66,19882,,,,,,,,
67,19882,,,,,,,,
68,19882,,,,,,,,
69,19882,,,,,,,,
70,19882,,,,,,,,
71,19882,,,,,,,,
72,19882,,,,,,,,
73,19882,,,,,,,,
74,19882,,,,,,,,
75,19882,,,,,,,,
76,19882,,,,,,,,
77,19882,,,,,,,,
78,19882,,,,,,,,
79,19882,,,,,,,,
80,19882,,,,,,,,
81,19882,,,,,,,,
82,19882,,,,,,,,
83,19882,,,,,,,,
84,19882,,,,,,,,
85,19882,,,,,,,,
86,19882,,,,,,,,
87,19882,,,,,,,,
88,19882,,,,,,,,
89,19882,,,,,,,,
90,19882,,,,,,,,
91,19882,,,,,,,,
92,19882,,,,,,,,
93,19882,,,,,,,,
94,19882,,,,,,,,
95,19882,,,,,,,,
96,19882,,,,,,,,
97,19882,,,,,,,,
98,19882,,,,,,,,
99,19882,,,,,,,,
100,19882,,,,,,,,
101,19882,,,,,,,,
102,19882,,,,,,,,
103,19882,,,,,,,,
104,19882,,,,,,,,
105,19882,,,,,,,,
106,19882,,,,,,,,
107,19882,,,,,,,,
108,19882,,,,,,,,
109,19882,,,,,,,,
110,19882,,,,,,,,
111,19882,,,,,,,,
112,19882,,,,,,,,
113,19882,,,,,,,,
114,19882,,,,,,,,
115,19882,,,,,,,,
116,19882,,,,,,,,
