id_ordem,id_invoice,codigo_produto,nome_produto,unidade,quantidade,valor_unitário,valor_imposto,valor_total,valor_desconto
35,30435,76124,Café União Extra Forte,10X500G,1 CXA1 ,"139,8","43,97","139,8",
36,30435,58045,Leite Piracanjuba Integral,1X1L,5 UND9,"4,29","3,77","21,45",
37,30435,21827,Ovo Branco GD Cinta,1x60UN,1 CXA9 ,"31,9","7,29","31,9",
38,30435,72209,Óleo Soja Vitaliv,1x900ML,2 UND9 ,"5,95","3,74","11,9",
39,30435,67146,Aveia Quaker,1x165G,3 UND9 ,"4,8","4,53","14,4",
40,30435,55436,Goiabada Val Tablete,1x300G,2 UND9 ,"2,79","1,75","5,58",
41,30435,18176,Linguiça Toscana Calabresa Sadia,1x500g,1 UND8 ,"16,4","5,16","16,4",
42,30435,67891,Linguiça Mista Marba,1x215G,2 UND9 ,"6,95","4,37","13,9",
43,30435,47952,Filé de Peixe Tilápia,1x800G,1 UND9 ,"36,9","11,61","36,9",
44,30435,44184,Hambúrguer Bovino Friboi,1x36x56G,1 CXA2 ,"39,5","12,42","39,5",
45,30435,82461,Queijo Parmesão Presidente,1x180G,1 UND9 ,"19,98","4,57","19,98",
46,30435,64823,Filézinho de Frango Sadia,1x1Kg,2 UND9 ,"15,98","10,06","31,96",
47,30435,71968,Filé Peito de Frango Sadia,1x1Kg,1 BDJ9 ,"19,8","6,23","19,8",
48,30435,88442,Queijo Cheddar Fatiado,1x140G,1 UND9 ,"10,2","2,33","10,2",
49,30435,72390,Queijo Prado Presidente,1x300G,1 UND9 ,"15,8","3,61","15,8",
50,30435,69489,Bebida Cacau ATDC,1XL,1 PTC9 ,"17,98","5,88","17,98",
51,30435,69490,Bebida Caju com Coco ATDC,1XL,3 PTC9 ,"18,98","18,6","56,94",
52,30435,4562,Azeite Vede S/C Rivolt,1x400G,1 VDO9 ,"18,5","5,82","18,5",
53,30435,68483,Leite de Coco Mais Coco,1x200ML,2 UND9 ,"4,99","3,14","9,98",
54,30435,8833,Macarrão Petybom Pena,1x500G,2 PTC9 ,"3,69","1,97","7,38",
55,30435,9851,Macarrão Petybom Parafuso Ovo,1x500G,2 PTC9 ,"3,69","1,97","7,38",
56,30435,3022,Chocolate em Pó Nestle,1x200G,1 PTC9 ,"14,89","4,68","14,89",
57,30435,72651,Biscoito Marilan,1x350G,1 UND9 ,"6,14","1,93","6,14",
58,30435,39425,Filtro de Café Brigitta,6x30UND,1 EMB2 ,"17,04","5,56","17,04",
59,30435,16976,Fermento Dr. Oetker,1x100G,1 UND9 ,"3,09","0,97","3,09",
60,30435,12576,Macarrão Petybom Espaguete Ovo,1x500G,2 UND9 ,"3,69","1,97","7,38",
61,30435,70813,Batata Palha Yoki,1x100G,1 UND9 ,"7,99","2,51","7,99",
62,30435,77678,Queijo Ralado Grosso,1X40G,2 UND9 ,"4,29","1,96","8,58",
63,30435,1546,"Folha de Alumínio 30x7,5 WYDA",1X1ROLO,1 UND9 ,"4,19","1,36","4,19",
64,30435,77067,Chocolate Granulado,1x500G,1 UND9 ,"9,49","2,98","9,49",
65,30435,10863,"Creme Dental Congate 1,12 CL",1x90G,2 UND9 ,"7,85","4,2","15,7",
66,30435,10872,"Creme Dental Congate 1,12 VH",1x90G,2 UND9 ,"7,85","4,2","15,7",
67,30435,74968,Biscoito Marilan,1x300G,1 UND9 ,"3,3","1,04","3,3",
68,30435,77052,Wrap Kim,1X200G,1 UND9 ,"5,99","1,6","5,99",
69,30435,54051,Coco Flocos Flococo,1x100G,1 UND9 ,"5,34","3,36","10,68",
70,30435,16924,Biscoito para Cães,1x500G,1 UND9 ,"22,8","8,05","22,8",
71,30435,16175,Arroz Pateko Tipo 1,1x5Kg,2 PTC8 ,"26,3","16,54","52,6",
72,30435,14247,Toalha Papel Kitchen,1x2UND60,2 UND9 ,"5,35","3,88","10,7",
73,30435,68433,Biscoito Piraquê,1x75G,2 UND9 ,"4,69","2,95","9,38",
74,30435,3063,Saco Picotado,20x28,1 UND9 ,"9,9","3,23","9,9",
75,30435,68013,Maionese Hellmann's,1x647G,1 UND9 ,"12,98","4,08","12,98",
76,30435,61283,Ketchup Heinz PET,"1X1,0033K",1 UND9 ,"21,49","6,79","21,49",
77,30435,83335,Orégano da Terrinha,1x8G,2 UND9 ,"2,29","1,44","4,58",
78,30435,63312,Tempero Baiano Kitano,1x40G,1 UND9 ,"7,49","2,36","7,49",
79,30435,14651,Bicarbonato de Sódio Kitano,1x80G,1 PCT9 ,"5,29","1,66","5,29",
80,30435,5030,Açafrão Kitano,1x50G,1 PCT9 ,"7,99","2,51","7,99",
81,30435,41256,Vinagre Castelo Álcool,1x750ML,1 UND9 ,"2,45","0,77","2,45",
82,30435,73276,Tempero Kitano,1x40G,2 UND9 ,"6,29","1,98","6,29",
83,30435,59309,Sardinha Robinson,1x1x84G,2 UND9 ,"4,79","3,01","9,58",
84,30435,59308,Sardinha Robinson,1x1x84G,2 UND9 ,"4,79","3,01","9,58",
85,30435,3321,Azeite Andorinha,1x500ML,1 GFA9 ,"37,9","14,91","37,9",
86,30435,23113,Azeite Andorinha Extra Virgem,1x500ML,1 GFA9 ,"38,79",0,"38,79",
87,30435,23421,Tempero Sabor AMI,1x300G,1 PTE9 ,"4,75","1,49","4,75",
88,30435,23397,Atum Coqueiro Sólido,1x120G,4 UND9 ,"7,99","10,05","31,96",
89,30435,7019,Mostarda Cepera Bisn,1x200G,1 UND9 ,"5,2","1,64","5,2",
90,30435,52603,Maionese Heinz Pote,1x400G,1 UND9 ,"18,49","5,82","18,49",
91,30435,75704,Farofa Pronta,1x400G,1 UND9 ,"4,49","1,41","4,49",
92,30435,54637,Biscoito Club Social,1x268G,1 UND9 ,"8,29","2,22","8,29",
93,30435,74127,Mix Top Raiz do Bem,1x210G,1 UND9 ,"19,9","6,26","19,9",
94,30435,85020,Seleta Legumes Bonare,1x170G,1 UND9 ,"3,69","1,16","3,69",
