intID_Ordem,strCod,strProduto,Unidade,Quantidade,Imposto Federal ≅%28,Total,Desconto
66,12576,Macarrão Petybom Esp. Ovo,1x500G,"2 UND9 x 3,69 ","1,97","7,38",
67,70813,Batata Palha Yoki,1x100G,"1 UND9 x 7,99 ","2,51","7,99",
68,77678,Queijo Ralado Grosso,1X40G,"2 UND9 x 4,29 ","1,96","8,58",
69,1546,"Folha de Aluminio 30x7,5 WYDA",1X1ROLO,"1 UND9 x 4,19 ","1,36","4,19",
70,77067,Chocolate Granulado,1x500G,"1 UND9 x 9,49 ","2,98","9,49",
71,10863,"Creme Dental Congate 1,12 CL",1x90G,"2 UND9 x 7,85 ","4,2","15,7",
72,10872,"Creme Dental Congate 1,12 VH",1x90G,"2 UND9 x 7,85 ","4,2","15,7",
73,74968,Biscoito Marilan,1x300G,"1 UND9 x 3,30 ","1,04","3,3",
74,77052,Wrap Kim,1X200G,"1 UND9 x 5,99 ","1,6","5,99",
75,54051,Coco Flocos Flococo,1x100G,"1 UND9 x 5,34 ","1,68","5,34",
76,54051,Coco Flocos Flococo,1x100G,"1 UND9 x 5,34 ","1,68","5,34",
77,16924,Biscoito para Cães,1x500G,"1 UND9 x 22,80 ","8,05","22,8",
78,16175,Arroz Pateko T.1,1x5Kg,"1 PTC8 x 26,30 ","8,27","26,3",
79,16175,Arroz Pateko T.1,1x5Kg,"1 PTC8 x 26,30 ","8,27","26,3",
80,14247,Toalha Papel Kitchen,1x2UND60,"1 UND9 x 5,35 ","1,94","5,35",
81,68433,Biscoito Piraque,1x75G,"2 UND9 x 4,69 ","2,95","9,38",
82,3063,SCO Picotado,20x28,"1 UND9 x 9,90 ","3,23","9,9",
83,68013,Maionese Hellmans,1x647G,"1 UND9 x 12,98 ","4,08","12,98",
84,61283,Catchup Heinz PET,"1X1,0033K","1 UND9 x 21,49 ","6,79","21,49",
85,83335,Oregano da Terrinha,1x8G,"1 UND9 x 2,29 ","0,72","2,29",
86,63312,Tempero Baiano Kitano,1x40G,"1 UND9 x 7,49 ","2,36","7,49",
87,14651,Bicarbonato de Sodio Kitano,1x80G,"1 PCT9 x 5,29 ","1,66","5,29",
88,5030,Acafrão Kitano,1x50G,"1 PCT9 x 7,99 ","2,51","7,99",
89,14247,Toalha Papel Kitchen,1x2UND60,"1 UND9 x 5,35 ","1,94","5,35",
90,41256,Vinagre Castelo Alcool,1x750ML,"1 UND9 x 2,45 ","0,77","2,45",
91,73276,Tempero Kitano,1x40G,"2 UND9 x 6,29 ","1,98","6,29",
92,59309,Sardinha Robinson,1x1x84G,"2 UND9 x 4,79 ","3,01","9,58",
93,59308,Sardinha Robinson,1x1x84G,"2 UND9 x 4,79 ","3,01","9,58",
94,3321,Azeite Andorinha,1x500ML,"1 GFA9 x 37,90 ","14,91","37,9",
95,23113,Azeite Andorinha Extra Virgem,1x500ML,"1 GFA9 x 38,79 ",0,"38,79",
96,23421,Tempero Sabor AMI,1x300G,"1 PTE9 x 4,75 ","1,49","4,75",
97,23397,Atum Coqueiro Solido,1x120G,"4 UND9 x 7,99 ","10,05","31,96",
98,68483,Leite de Coco Mais Coco,1x200ML,"1 UND9 x 4,99 ","1,57","4,99",
99,7019,Mostarda Cepera Bisn,1x200G,"1 UND9 x 5,20 ","1,64","5,2",
100,52603,Maionese Heinz Pote,1x400G,"1 UND9 x 18,49 ","5,82","18,49",
101,72755,Milho Verde Fugini,1x170G,"1 UND9 x 3,19 ",1,"3,19",
102,75704,Farofa Pronta,1x400G,"1 UND9 x 4,49 ","1,41","4,49",
103,54637,Biscoito Club Social,1x268G,"1 UND9 x 8,29 ","2,22","8,29",
104,74127,Mix Top Raiz do Bem,1x210G,"1 UND9 x 19,90 ","6,26","19,9",
105,85020,Seleta Leg. Bonare,1x170G,"1 UND9 x 3,69 ","1,16","3,69",
106,35641,Champignon C. Belo,1x100G,"2 UND9 x 5,69 ","4,11","11,38",
107,85774,Molho Mama Doro Pouc,1x300G,"1 UND9 x 2,09 ","0,66","2,09",
108,42797,Molho Tomate Pomarola,1x300G,"1 UND9 x 3,45 ","1,09","3,45",
109,75162,Molho TOMATE Etti,1x300G,"2 UND9 x 1,49 ","0,87","2,98","0,2"
110,72488,Gelatina Qualimax,1x20G,"1 UND9 x 1,19 ","0,37","1,19",
111,21176,Açucar Refinado União,1x1Kg,"5 PTC9 x 4,30 ","6,76","21,5",
112,42797,Molho Tomate Pomarola,1x300G,"1 UND9 x 3,45 ","1,09","3,45",
113,83335,Oregano da Terrinha,1x8g,"1 UND9 x 2,29 ","0,72","2,29",
114,32749,Feijão da Casa,1x1Kg,"3 PCT9 x 6,59 ","6,22","19,77",
115,23290,CR. Leite Piracanjuba,1x200g,"3 UND9 x 2,49 ","1,71","7,47",
116,72755,Miho Verde Fugini,1x170G,"2 UND9 x 3,19 ","2,01","6,38",
117,75162,Molho TOMATE Etti,1x300G,"2 UND9 1,49 ","0,87","2,98","0,2"
